Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 13:47:32,,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 13:47:32,,Session Reporter,"",,
2011-04-06 13:47:32,,Hashcode,"70ea6225f3",,
2011-04-06 13:47:32,,Session Charter,"asdlkkj",,
2011-04-06 13:47:40,,autogenerated,"screenshot saved",1_20110406_134740_70ea6225f3.jpg,
2011-04-06 13:47:47,,autogenerated,"screenshot saved",2_20110406_134747_70ea6225f3.jpg,
2011-04-06 13:47:56,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5594510777/",,
2011-04-06 13:48:41,,autogenerated,"screenshot saved",3_20110406_134841_70ea6225f3.jpg,
2011-04-06 13:48:47,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5595097686/",,
2011-04-06 13:48:58,,autogenerated,"screenshot saved",4_20110406_134858_70ea6225f3.jpg,
2011-04-06 13:48:59,,autogenerated,"screenshot saved",5_20110406_134859_70ea6225f3.jpg,
2011-04-06 13:48:59,,autogenerated,"screenshot saved",6_20110406_134859_70ea6225f3.jpg,
2011-04-06 13:50:20,,autogenerated,"screenshot saved",7_20110406_135020_70ea6225f3.jpg,
2011-04-06 13:50:42,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5595100706/",,
2011-04-06 13:51:02,,autogenerated,"screenshot saved",8_20110406_135102_70ea6225f3.jpg,
2011-04-06 13:51:28,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5595101894/",,
2011-04-06 13:52:02,,Session End. Duration,"00:04:29",,
