Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-05 09:08:02,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:08:02,,Session Reporter,"",,
2011-04-05 09:08:02,,Session Charter,"hugo",,
2011-04-05 09:08:14,,Setup,"hugo",,
2011-04-05 09:08:17,,autogenerated,"screenshot saved",1_20110405_090817.jpg,
2011-04-05 09:08:19,,autogenerated,"screenshot saved",2_20110405_090819.jpg,
2011-04-05 09:08:59,,Next Time,"hugo",2_20110405_090819.jpg,
2011-04-05 09:09:02,,Question,"hugo",,
2011-04-05 09:09:04,,Bug,"hugo",,
2011-04-05 09:09:06,,Check,"hugo",,
2011-04-05 09:09:08,,autogenerated,"screenshot saved",3_20110405_090908.jpg,
2011-04-05 09:09:21,,autogenerated,"screenshot saved",4_20110405_090921.jpg,
2011-04-05 09:09:26,,autogenerated,"screenshot saved",5_20110405_090926.jpg,
2011-04-05 09:10:06,,Session End. Duration,"00:02:04",,
