Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-05 09:08:02,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:08:02,,Session Reporter,"",,
2011-04-05 09:08:02,,Session Charter,"hugo",,
2011-04-05 09:08:14,,Setup,"hugo",,
2011-04-05 09:08:17,,autogenerated,"screenshot saved",1_20110405_090817.jpg,
2011-04-05 09:08:19,,autogenerated,"screenshot saved",2_20110405_090819.jpg,
2011-04-05 09:08:59,,Next Time,"hugo",2_20110405_090819.jpg,
2011-04-05 09:09:02,,Question,"hugo",,
2011-04-05 09:09:04,,Bug,"hugo",,
2011-04-05 09:09:06,,Check,"hugo",,
2011-04-05 09:09:08,,autogenerated,"screenshot saved",3_20110405_090908.jpg,
2011-04-05 09:09:21,,autogenerated,"screenshot saved",4_20110405_090921.jpg,
2011-04-05 09:09:26,,autogenerated,"screenshot saved",5_20110405_090926.jpg,
2011-04-05 09:10:06,,Session End. Duration,"00:02:04",,
2011-04-05 09:14:28,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:14:28,,Session Reporter,"",,
2011-04-05 09:14:28,,Session Charter,"assad",,
2011-04-05 09:14:29,,Setup,"asdas",,
2011-04-05 09:14:39,,autogenerated,"screenshot saved",1_20110405_091439.jpg,
2011-04-05 09:15:16,,Session End. Duration,"00:00:47",,
2011-04-05 09:17:11,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:17:12,,Session Reporter,"",,
2011-04-05 09:17:12,,Session Charter,"asdasdas",,
2011-04-05 09:18:22,,Session End. Duration,"00:01:10",,
2011-04-05 09:26:57,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:26:57,,Session Reporter,"",,
2011-04-05 09:26:57,,Session Charter,"hugo",,
2011-04-05 09:26:59,,Setup,"hugo",,
2011-04-05 09:27:01,,autogenerated,"screenshot saved",1_20110405_092700.jpg,
2011-04-05 09:27:56,,Session End. Duration,"00:00:59",,
2011-04-05 09:31:02,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:31:02,,Session Reporter,"",,
2011-04-05 09:31:02,,Session Charter,"hugo",,
2011-04-05 09:31:08,,autogenerated,"screenshot saved",1_20110405_093108.jpg,
2011-04-05 09:33:08,,autogenerated,"screenshot saved",2_20110405_093308.jpg,
2011-04-05 09:33:56,,Session End. Duration,"00:02:53",,
2011-04-05 09:42:54,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:42:54,,Session Reporter,"",,
2011-04-05 09:42:54,,Session Charter,"asdasd",,
2011-04-05 09:42:56,,Setup,"asdsad",,
2011-04-05 09:42:59,,autogenerated,"screenshot saved",1_20110405_094259.jpg,
2011-04-05 09:43:02,,autogenerated,"screenshot saved",2_20110405_094302.jpg,
2011-04-05 09:43:25,,Session End. Duration,"00:00:30",,
2011-04-05 09:49:37,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:49:37,,Session Reporter,"",,
2011-04-05 09:49:37,,Session Charter,"asdasd",,
2011-04-05 09:49:38,,Setup,"asdasd",,
2011-04-05 09:49:39,,autogenerated,"screenshot saved",1_20110405_094939.jpg,
2011-04-05 09:50:02,,autogenerated,"screenshot saved",2_20110405_095002.jpg,
2011-04-05 09:50:37,,Session End. Duration,"00:01:00",,
2011-04-05 09:51:44,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:51:44,,Session Reporter,"",,
2011-04-05 09:51:44,,Session Charter,"asdasd",,
2011-04-05 09:51:46,,autogenerated,"screenshot saved",1_20110405_095146.jpg,
2011-04-05 09:52:46,,Session End. Duration,"00:01:02",,
2011-04-05 09:57:30,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:57:30,,Session Reporter,"",,
2011-04-05 09:57:30,,Session Charter,"asdasd",,
2011-04-05 09:57:32,,Setup,"asdasdasd",,
2011-04-05 09:57:35,,autogenerated,"screenshot saved",1_20110405_095735.jpg,
2011-04-05 09:57:39,,autogenerated,"screenshot saved",2_20110405_095739.jpg,
2011-04-05 09:58:53,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 09:58:53,,Session Reporter,"",,
2011-04-05 09:58:53,,Session Charter,"asdsad",,
2011-04-05 09:58:54,,Setup,"asdsad",,
2011-04-05 09:58:56,,autogenerated,"screenshot saved",1_20110405_095856.jpg,
2011-04-05 10:04:13,,Session End. Duration,"00:05:19",,
2011-04-05 10:29:56,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:29:56,,Session Reporter,"",,
2011-04-05 10:29:56,,Session Charter,"asdsasd",,
2011-04-05 10:29:59,,autogenerated,"screenshot saved",1_20110405_102959.jpg,
2011-04-05 10:30:20,,Session End. Duration,"00:00:24",,
2011-04-05 10:34:51,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:34:51,,Session Reporter,"",,
2011-04-05 10:34:51,,Session Charter,"adsadsada",,
2011-04-05 10:34:59,,autogenerated,"screenshot saved",1_20110405_103459.jpg,
2011-04-05 10:35:05,,autogenerated,"screenshot saved",2_20110405_103505.jpg,
2011-04-05 10:35:30,,Session End. Duration,"00:00:38",,
2011-04-05 10:37:04,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:37:04,,Session Reporter,"",,
2011-04-05 10:37:04,,Session Charter,"asdsada",,
2011-04-05 10:37:10,,autogenerated,"screenshot saved",1_20110405_103710.jpg,
2011-04-05 10:37:13,,autogenerated,"screenshot saved",2_20110405_103713.jpg,
2011-04-05 10:37:13,,autogenerated,"screenshot saved",3_20110405_103713.jpg,
2011-04-05 10:37:14,,autogenerated,"screenshot saved",4_20110405_103714.jpg,
2011-04-05 10:37:14,,autogenerated,"screenshot saved",5_20110405_103714.jpg,
2011-04-05 10:37:16,,autogenerated,"screenshot saved",6_20110405_103716.jpg,
2011-04-05 10:37:50,,autogenerated,"screenshot saved",7_20110405_103749.jpg,
2011-04-05 10:38:28,,autogenerated,"screenshot saved",8_20110405_103828.jpg,
2011-04-05 10:38:30,,autogenerated,"screenshot saved",9_20110405_103830.jpg,
2011-04-05 10:38:32,,autogenerated,"screenshot saved",10_20110405_103832.jpg,
2011-04-05 10:39:23,,Session End. Duration,"00:02:18",,
2011-04-05 10:45:33,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:45:33,,Session Reporter,"",,
2011-04-05 10:45:33,,Session Charter,"dsfsdf",,
2011-04-05 10:45:35,,Setup,"fds",,
2011-04-05 10:45:38,,autogenerated,"screenshot saved",1_20110405_104538.jpg,
2011-04-05 10:45:41,,autogenerated,"screenshot saved",2_20110405_104541.jpg,
2011-04-05 10:46:25,,autogenerated,"screenshot saved",3_20110405_104625.jpg,
2011-04-05 10:46:46,,Session End. Duration,"00:01:13",,
2011-04-05 10:48:53,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:48:53,,Session Reporter,"",,
2011-04-05 10:48:53,,Session Charter,"sdfsdf",,
2011-04-05 10:48:56,,autogenerated,"screenshot saved",1_20110405_104856.jpg,
2011-04-05 10:48:58,,autogenerated,"screenshot saved",2_20110405_104858.jpg,
2011-04-05 10:50:02,,Session End. Duration,"00:01:08",,
2011-04-05 10:52:15,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 10:52:15,,Session Reporter,"",,
2011-04-05 10:52:15,,Session Charter,"sdf",,
2011-04-05 10:52:19,,autogenerated,"screenshot saved",1_20110405_105219.jpg,
2011-04-05 10:53:11,,Session End. Duration,"00:00:55",,
