Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-08 11:32:55,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 11:32:55,,Session Reporter,"",,
2011-04-08 11:32:55,,Hashcode,"aafe9f8211",,
2011-04-08 11:32:55,,Session Charter,"test",,
2011-04-08 11:33:01,,autogenerated,"screenshot saved",1_20110408_113301_aafe9f8211.jpg,
2011-04-08 11:33:04,,autogenerated,"screenshot saved",2_20110408_113303_aafe9f8211.jpg,
2011-04-08 11:33:10,,autogenerated,"screenshot saved",3_20110408_113309_aafe9f8211.jpg,
2011-04-08 11:33:34,,WebUrl: ,"http://www.flickr.com/photos/26568532@N03/5600263928/",,
2011-04-08 11:33:59,,autogenerated,"screenshot saved",4_20110408_113359_aafe9f8211.jpg,
2011-04-08 11:34:16,,WebUrl: ,"http://www.flickr.com/photos/26568532@N03/5600264850/",,
2011-04-08 11:34:32,,autogenerated,"screenshot saved",5_20110408_113432_aafe9f8211.jpg,
2011-04-08 11:34:33,,autogenerated,"screenshot saved",6_20110408_113433_aafe9f8211.jpg,
2011-04-08 11:35:05,,Note,"jnjsdc",6_20110408_113433_aafe9f8211.jpg,
2011-04-08 11:35:07,,Test,"knvlkwd",,
2011-04-08 11:35:09,,Check,"jndvmd",,
2011-04-08 11:35:13,,autogenerated,"screenshot saved",7_20110408_113513_aafe9f8211.jpg,
2011-04-08 11:35:17,,autogenerated,"screenshot saved",8_20110408_113517_aafe9f8211.jpg,
2011-04-08 11:35:48,,WebUrl: ,"http://www.flickr.com/photos/26568532@N03/5599684597/",,
2011-04-08 11:36:48,,autogenerated,"screenshot saved",9_20110408_113647_aafe9f8211.jpg,
2011-04-08 11:41:16,,WebUrl: ,"http://www.flickr.com/photos/26568532@N03/5600273118/",,
2011-04-08 11:42:01,,autogenerated,"screenshot saved",10_20110408_114201_aafe9f8211.jpg,
